subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2010,fall,y,6,6,2779832,2780,3864580,3865,0.7193,6.97E+11,696852702,3.1301,0.0051,1.7819,08/09/2010 00:00,9/23/10 23:00,15.9583,251,266,-1.83783,40.85,16.08833,2.4955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2010,spring,y,6,6,2864987,2865,3577557,3578,0.8008,7.73E+11,773371479,3.5591,0.0054,1.3746,2/26/10 13:00,3/16/10 17:00,18.1667,57,75,-5.526,14.97667,40.68383,-2.37517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2011,fall,y,6,6,2693971,2694,3230061,3230,0.834,7.42E+11,742229086,3.3602,0.0046,1.2885,04/09/2011 02:00,9/16/11 23:00,12.875,247,259,-2.218,40.76933,16.69067,1.44717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2011,spring,y,6,6,2786084,2786,3491591,3492,0.7979,9.06E+11,906403662,3.4589,0.0071,1.8386,2/25/11 1:00,3/18/11 21:00,21.8333,56,77,-5.44183,15.752,40.731,-2.165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2012,fall,y,6,6,2462161,2462,2776472,2776,0.8868,5.30E+11,529680301,3.9323,0.0049,1.4372,02/09/2012 02:00,9/16/12 23:00,14.875,246,260,-4.39933,38.62533,17.22983,2.3455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2012,spring,y,6,6,2896821,2897,4040036,4040,0.717,9.72E+11,972275226,3.2795,0.0052,1.9246,2/17/12 1:00,09/03/2012 23:00,21.9167,48,69,-5.11817,14.85583,40.8415,-1.83033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2013,spring,y,6,6,2892783,2893,4562522,4563,0.634,1.10E+12,1102024978,3.8291,0.0062,1.9816,10/02/2013 01:00,3/15/13 23:00,33.9167,41,74,-5.10433,14.87617,40.82967,-1.86283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2009,fall,y,6,6,2523175,2523,2676508,2677,0.9427,7.45E+11,744778774,4.338,0.0015,0.0261,8/21/09 2:00,01/09/2009 02:00,11,233,244,-3.93283,39.4265,17.03683,-8.46417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A89730,2010,fall,y,6,6,2349726,2350,2565692,2566,0.9158,7.29E+11,729023448,4.5887,0.0023,0.1529,8/14/10 2:00,8/30/10 2:00,16,226,242,-4.41983,38.641,18.20917,-10.62817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
