ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
A89730_2013_spring,2666340.56165914,2963096.6800324,0.899849329799792,848945054473.927,3.54112319633452,0.000229627417155271,7.46058124965132e-07,2013-02-21 01:00:00,2013-03-15 01:00:00,22,52,74
A89731_2009_fall,2504609.34229792,3051759.7480042,0.820709868768631,750128160932.824,3.33336886404145,0.000279489933522206,1.20365124062255e-07,2009-09-08 02:00:00,2009-09-22 02:00:00,14,251,265
A89731_2010_fall,2537952.87961821,3166361.85171386,0.801535957820009,677752483055.764,3.64844667293252,0.000339943798882668,3.57148822313196e-07,2010-09-06 02:00:00,2010-09-28 02:00:00,22,249,271
A89731_2010_spring,2736436.50351552,3111973.32241692,0.879325180522517,777830520649.524,3.99934566650467,0.000706050004703385,2.66019198269212e-08,2010-02-27 01:00:00,2010-03-15 01:00:00,16,58,74
A89731_2011_fall,2780811.01825042,3093886.57470669,0.898808327682165,868109882261,3.9920237871422,0.000582417319275234,2.98789304369713e-07,2011-09-11 02:00:00,2011-09-26 02:00:00,15,254,269
A89731_2011_spring,2819253.70938779,3806072.91638541,0.74072509153745,948026334278.171,3.31554887307964,0.00093531954525244,2.77619179491418e-07,2011-02-18 01:00:00,2011-03-15 01:00:00,25,49,74
A89731_2012_spring,2852979.08091578,3461631.26131553,0.824171861630217,766168919315.256,3.55264268635358,0.00069126211372432,4.03429079907304e-08,2012-02-22 01:00:00,2012-03-13 01:00:00,20,53,73
Agri_2013_fall,4347320.63218954,4636380.48737814,0.937653983322655,2097296468892.82,4.53042066385118,0.000554225889599189,9.53251453969061e-09,2013-09-11 00:00:00,2013-09-27 07:00:00,16,254,270
Agri_2014_spring,4473178.44356703,5552687.54873119,0.805587997579509,1978892848254.86,3.04351434633002,0.00026887224320703,3.11323416144699e-07,2014-03-21,2014-04-07,17,80,97
Amud_2018_fall,2998587.48418015,3599937.8758961,0.832955341884543,318833270968.695,6.96054885639731,0.00125557183013197,1.13091663319591e-06,2018-09-18 05:00:00,2018-11-13 05:00:00,56,261,317
Aoos_2015_fall,3107790.59311489,5889852.54834028,0.527651680175023,2352782800993.73,2.90279375447572,0.00121609100845256,1.54810856186871e-07,2015-09-04,2015-10-01,27,247,274
Aoos_2016_fall,3152387.47242374,5600669.87126698,0.562859005240851,1565793587965.67,2.83148389745645,0.00124160221169608,1.6142718764967e-08,2016-09-21,2016-10-09,18,265,283
Aoos_2016_spring,3547238.35646076,6384804.60325344,0.555575084420475,1896320679905.15,3.3792748228498,0.00129885938243334,2.4722760824912e-07,2016-03-16 05:00:00,2016-04-18 07:00:00,33,76,109
Aoos_2017_fall,3195674.77261854,5824995.15182517,0.548614151484269,2232473903285.97,2.91431875538105,0.000598947275284578,1.01975628180155e-07,2017-09-13 10:00:00,2017-10-04 00:00:00,21,256,277
Aoos_2017_spring,3224510.48473038,6511121.50190222,0.495231195392122,1944563572948.71,3.04587730712834,0.000676195945433642,4.25060238911606e-07,2017-03-08 03:00:00,2017-04-13 00:00:00,36,67,103
Aoos_2018_fall,2947981.22620677,5562342.19591759,0.529989188434039,1332678927493.62,2.89206042883666,0.000795273236814867,8.02150199015155e-08,2018-08-13 16:00:00,2018-09-04 00:00:00,22,225,247
Aoos_2018_spring,3218787.13922248,5817828.74966195,0.553262613549687,1996067936149.82,2.86556716967216,0.0013770367061908,7.54582445176588e-08,2018-03-04 05:00:00,2018-04-05 06:00:00,32,63,95
Aras_2012_fall,3594653.45667961,4534185.72895339,0.792789195582721,1460295909680.59,3.25157146611234,0.000332061724584339,4.09205853888709e-08,2012-09-04,2012-09-23,19,248,267
Arda_2012_fall,3286910.85017814,4683403.38303703,0.701821000959069,1103461951282.13,2.9753941164873,0.000170366083328832,3.0567155204626e-07,2012-09-20 05:00:00,2012-10-14 02:00:00,24,264,288
Ardahan_2013_fall,4212241.44397262,4880772.0002336,0.863027702128069,2432861236433.55,4.08711015697084,3.99848127241006e-05,2.19638699181147e-07,2013-08-22,2013-09-16,25,234,259
Ardahan_2014_spring,3722925.87400461,5206630.90448872,0.71503548884078,1562501834528.67,3.24216832139697,0.00145278586831007,2.95128751593525e-07,2014-04-10,2014-04-29,19,100,119
Armenia2_2015_fall,4670785.92488744,5270455.92857156,0.88622046900473,1415854561751.58,4.09807721094884,8.7094339777816e-05,1.11126559664921e-06,2015-08-31 00:00:00,2015-10-11 09:00:00,41,243,284
Armenia3_2015_fall,4846708.95706079,5106987.61558271,0.949034797396464,2392896443173.62,4.5988796501774,4.71268911754024e-05,9.94772338102377e-09,2015-09-20 00:00:00,2015-10-09 09:00:00,19,263,282
Batuecasa_2017_fall,2612564.06748939,2783218.58502136,0.938684471837608,740281924635.938,3.46230062642425,0.00148349277830387,2.42853310856725e-10,2017-09-13 01:00:00,2017-09-25 00:00:00,12,256,268
Batuecasa_2018_fall,2683104.97281709,2891974.63097044,0.927776109819034,940305613444.531,3.96860430352494,0.000140186878643562,1.74086345491903e-08,2018-09-21 06:00:00,2018-09-30 07:00:00,9,264,273
Batuecasa_2018_spring,2507372.88375591,2850453.98085019,0.879639840039814,883162369444.993,3.57624152743058,0.00257131832116501,2.0702419113495e-07,2018-02-14 02:00:00,2018-03-07 06:00:00,21,45,66
Boris_2015_fall,4274490.46312877,4738568.98859168,0.902063570968324,1939193653051.36,3.52219922244098,0.000580364888371443,5.48613794773097e-09,2015-09-14 05:00:00,2015-09-28 01:00:00,14,257,271
Boris_2016_fall,4143405.36480132,4478581.37053134,0.925160228652882,1789517279317.89,3.70548187072007,0.000785988216629531,3.30081063348059e-09,2016-09-24 05:00:00,2016-10-05 03:00:00,11,268,279
Boris_2016_spring,4357467.61246342,4847515.04300847,0.898907496687021,2202885088072.55,3.61201871525192,0.00113347117818325,3.57193238643217e-07,2016-03-01 03:00:00,2016-03-20 04:00:00,19,61,80
Boris_2017_fall,4364579.5540375,4844847.83490946,0.900870306511713,1966869357244.26,3.53583273152417,0.000786090258642169,6.79633243829412e-09,2017-09-22 05:00:00,2017-10-06 04:00:00,14,265,279
Boris_2017_spring,4413387.39662295,5209396.35842814,0.847197466455523,2350212543547.72,3.57134512989892,0.000536386670370248,2.19409095645377e-08,2017-03-01 03:00:00,2017-03-22 02:00:00,21,60,81
Boris_2018_fall,4450690.3203888,4937242.3150567,0.90145268074364,2138386108610.24,3.30177815797043,0.0013771446481915,7.16972978832269e-09,2018-09-22 05:00:00,2018-10-06 04:00:00,14,265,279
Boris_2018_spring,4522392.60616417,5147075.52022699,0.878633427543867,2350792286247.14,3.41546222367938,0.000352858636758346,7.96089246293031e-08,2018-02-27 03:00:00,2018-03-17 04:00:00,18,58,76
Brieva_2016_fall,2885951.90303971,3163790.70634393,0.912181674107864,764960525660.455,4.55003451514535,0.00116362055858616,7.49963179374497e-07,2016-09-09 06:00:00,2016-10-06 06:00:00,27,253,280
Bruco_2017_fall,2735518.04039311,3010011.0542123,0.908806642608485,966376092598.755,3.92552075014845,0.000222655949391728,1.48820990228094e-08,2017-09-06 08:00:00,2017-09-22 08:00:00,16,249,265
Cabuk_2014_fall,3939925.83952025,4063958.6067653,0.969479815311464,1686958103464.83,4.65057431930706,0.000999812963391894,1.0532136382037e-09,2014-09-08 05:00:00,2014-09-21 05:00:00,13,251,264
Cabuk_2015_fall,4012248.43106942,4772318.30523973,0.840733617173902,2080695272324.91,3.56675106554032,3.41827691250347e-05,5.43791944309438e-08,2015-10-06 05:00:00,2015-10-27 07:00:00,21,279,300
Cabuk_2015_spring,3613805.3902379,4665796.8991998,0.774531225492836,1135896397844.89,3.61428485706488,0.00121339526874932,3.18832201042065e-07,2015-05-28 09:00:00,2015-06-18 05:00:00,21,148,169
Castor_2014_fall,4281105.12354813,5104467.92534262,0.838697624544436,2049227771739.42,3.23846034046084,0.000564624204681209,2.25982814291379e-07,2014-08-22 05:00:00,2014-09-17 03:00:00,26,234,260
Castor_2015_fall,5093126.825204,7213489.54395643,0.706055896271604,3388218173402.24,3.59091781977107,0.000886516324448402,1.13516207621803e-06,2015-08-11 05:00:00,2015-10-15 03:00:00,65,223,288
Castor_2015_spring,4980874.54357512,5910952.44109734,0.842651771133258,2374812306626.07,4.07228244444215,0.000833891443833113,2.03414263752034e-07,2015-03-07 03:00:00,2015-04-05 04:00:00,29,66,95
Dobromir_2012_fall,3616995.63862762,6856104.72630852,0.527558399851791,1092196323802.22,4.00649581474206,0.000447189578769932,5.013438451403e-07,2012-09-08 05:00:00,2012-10-31 04:00:00,53,252,305
Dobromir_2014_fall,4583783.76898155,7713310.79889768,0.594269294793181,2476495419945.98,3.32892921412799,0.000866864242342025,9.343363745578e-07,2014-07-30 05:00:00,2014-10-02 06:00:00,64,211,275
Dobromir_2014_spring,3684653.96017175,7745065.73903463,0.475742115602885,1914114807994.26,4.06313941789857,0.000694510886486004,4.92989533648224e-07,2014-04-18 05:00:00,2014-06-03 05:00:00,46,108,154
Dobromir_2015_spring,3935536.20094517,4964146.28425479,0.792792149060523,1758903961263.43,3.01279247196196,0.000616722006500367,9.15974112658433e-09,2015-04-30 01:00:00,2015-05-15 05:00:00,15,120,135
Dobromir_2016_fall,3688782.79245627,5648669.74219395,0.65303566340622,1802937797147.46,3.50164588583935,0.000637986681573998,5.43868618969665e-07,2016-08-12 03:00:00,2016-09-25 05:00:00,44,225,269
Dobromir_2016_spring,3829224.00176835,5495958.42812844,0.696734528079814,1738208557053.64,3.10247940817188,0.000220815808202765,3.19119255179365e-07,2016-05-01 03:00:00,2016-05-30 05:00:00,29,122,151
Douro_2017_fall,2652407.69198207,3034033.91789045,0.874218207101087,855218467856.039,3.51298816658253,0.000725434452573176,1.88290504911128e-08,2017-08-28 07:00:00,2017-09-09 07:00:00,12,240,252
