id.yr.season,study,tag,id,N_locs,start_mig,end_mig
A75657_2012_spring,terra.natura-spain,75657,A75657,971,2012-02-26T13:00:00Z,2012-03-20T16:29:51.222015Z
A75657_2013_fall,terra.natura-spain,75657,A75657,926,2013-09-09T00:00:00Z,2013-11-04T23:00:00Z
A75657_2013_spring,terra.natura-spain,75657,A75657,929,2013-02-19T03:56:45.399297Z,2013-03-24T10:32:46.225105Z
A75658_2009_fall,terra.natura-spain,75658,A75658,1175,2009-08-28T06:09:42.180349Z,2009-10-18T04:32:41.733676Z
A75658_2010_fall,terra.natura-spain,75658,A75658,1656,,
A75658_2010_spring,terra.natura-spain,75658,A75658,1777,,
A75658_2011_fall,terra.natura-spain,75658,A75658,551,,
A75658_2011_spring,terra.natura-spain,75658,A75658,1667,,
A75658_2012_spring,terra.natura-spain,75658,A75658,74,,
A75659_2009_fall,terra.natura-spain,75659,A75659,1281,2009-09-07T12:00:00Z,2009-12-14T23:00:00Z
A75659_2010_fall,terra.natura-spain,75659,A75659,1317,2010-09-04T06:03:31.135092Z,2010-11-03T23:00:00Z
A75659_2010_spring,terra.natura-spain,75659,A75659,957,2010-02-27T01:00:00Z,2010-03-26T15:57:09.782937Z
A75659_2011_fall,terra.natura-spain,75659,A75659,88,,
A75659_2011_spring,terra.natura-spain,75659,A75659,875,2011-02-25T01:00:00Z,2011-03-26T12:05:34.163823Z
A80419_2008_fall,terra.natura-spain,80419,A80419,1148,2008-09-19T00:00:00Z,2008-11-09T23:00:00Z
A80419_2009_fall,terra.natura-spain,80419,A80419,1303,2009-09-04T00:00:00Z,2009-10-17T18:00:00Z
A80419_2009_spring,terra.natura-spain,80419,A80419,1014,2009-02-12T03:12:11.666985Z,2009-03-17T04:09:03.499219Z
A80419_2010_fall,terra.natura-spain,80419,A80419,1360,2010-09-06T00:33:22.037824Z,2010-10-29T22:00:00Z
A80419_2010_spring,terra.natura-spain,80419,A80419,1096,2010-02-10T07:54:49.632118Z,2010-03-07T08:28:04.416070Z
